1,Id,Name,Address,In Tx,Out Tx,In ETH,Out ETH,In USD,Out USD,Paying,Paid,Date 1st Tx,Date last Tx,Lifetime
2,,,0xac2bb751cd9528ffbcfdbbd976b906baed792a56,31,20,48.02184502,47.9751845,538.0967127,474.505165,9,7,4/1/2016,4/28/2016,27
3,,,0x972bb83d20e5ba0233ef4913595e6921e4060419,11,5,32.155,31.98875,143.5988708,142.856426,3,4,2/19/2016,2/19/2016,0
4,,,0xa0285193e366a634fd9639d650b2115d77681a37,7,1,24,11.26,218.6733333,119.2762417,5,1,2/29/2016,5/13/2016,74
5,,,0x21905ebd9e1f9587c7b3685d424679f16cccbb58,368,8,22.3,17.87,259.8514167,199.9846667,3,3,4/1/2016,10/14/2016,196
6,,,0x5c3578f62ccd0b126214daa589ca11c7dc681acf,51,3,10.5,9,92.57125,74.2725,2,2,3/12/2016,10/14/2016,216
7,,,0x40b88bbd78cb0441259de7a7d608a39b7388369a,14,12,9.5,9.365,98.94429167,107.5508146,3,3,3/2/2016,3/10/2016,8
8,,,0x5eabae401202b9ed9e5dfbbe2d67860361eb0a9d,10,4,6.1,5.26,37.751375,32.578325,4,3,2/25/2016,2/27/2016,2
9,,,0x9e2a68ed6b854e2e55433b5ec8f471c7b274df51,7,3,3.8,1.991,24.32158333,15.32183125,4,2,2/28/2016,3/5/2016,6
10,,,0x36b5766f8f0b674a2b3dcb7df5fd7a5cb68c073b,3,0,3,0,32.265,0,1,0,4/5/2016,4/5/2016,0
11,,,0x3ae8b3ae07cb09f4ca2b6250eec03d016017755e,1,0,2,0,8.169166667,0,1,0,2/17/2016,2/17/2016,0
12,,,0xdf05fb3eab68898ec07cadba5849c30fafe9b113,14,9,1.06,0.763,12.35474167,8.893082917,1,1,4/1/2016,4/1/2016,0
13,,,0x5b22f555d35af3b47e1b521e96073c99c880c4de,2,0,1,0,7.858333333,0,1,0,4/25/2016,4/25/2016,0
14,,,0xe6329d65ebcc5cbccdd719d7b18ac9e220dca145,11,1,0.95,0.3833333333,5.8793125,3.028652778,3,1,2/25/2016,4/12/2016,47
15,,,0xa1c1983aa3599657a74cf5a563e880eedc57ae4f,11,10,0.91,0.91,8.549975,8.549134472,2,3,11/25/2016,11/26/2016,1
16,,,0xa820487e57656771b21ab533cb99e8d347aa20ef,44,3,0.60001,0.0060001,6.995366588,0.06995366588,1,1,8/13/2016,10/14/2016,62
17,,,0xadd6f226b34957a8f59a5be195560b96323c74c7,223,0,0.52001,0,6.040712387,0,3,0,3/29/2016,10/14/2016,199
18,,,0x15d03b33f8abd63059655b98c586f975ffc63401,1,0,0.5,0,2.232916667,0,1,0,2/19/2016,2/19/2016,0
19,,,0x0d5919572552c6c8c752aa402bd033f2b2886bbc,198,0,0.5,0,5.35125,0,1,0,3/27/2016,10/14/2016,201
20,,,0xf52ecc525d998eb880911a268b0fa4bc7d69a435,6,4,0.481,0.428815,6.457825833,5.757198721,2,3,7/24/2016,7/24/2016,0
21,,,0x6492904953ed9015d6b37f8063b65c8de105d837,6,6,0.41,0.388,3.542229167,3.352158333,2,2,4/10/2016,4/10/2016,0
22,,,0xc07ec6b6e3783b6855d000e104e44b3f86bbfc22,11,1,0.3594769,0.3394769,3.86617406,2.682150407,3,1,4/5/2016,4/12/2016,7
23,,,0xc2b9e4826a426a071254ccc40261299740c02b2c,216,0,0.3,0,3.657375,0,1,0,6/29/2016,10/14/2016,107
24,,,0x2f5cd5d797ec8868a5aaefd784ed2c5bc46a1a47,22,9,0.236,0.19642,1.46556,1.2197682,3,3,2/27/2016,2/28/2016,1
25,,,0xd57ad441160865b7393be8c8244a69957dc4d53e,6,1,0.221,0.0909,2.34011375,0.962517375,1,1,3/19/2016,3/19/2016,0
26,,,0xecff67d36188c73d07556e4da2091c8d2f8f4f4c,258,3,0.17,0.1692,1.343141667,1.336821,2,1,4/12/2016,10/14/2016,185
27,,,0x883ee0b0ce06f11cb215c7e2299f1948b247784b,4,5,0.127,0.09692,1.421910833,1.0911602,1,2,3/21/2016,3/22/2016,1
28,,,0x79280ded572a0a7dfd31dfcc5baef3121ef0fee6,10,7,0.12,0.11,1.1504,1.054533333,1,1,3/8/2016,3/8/2016,0
29,,,0x6b62497fc36e1f47c4c2d9f29fdf28cc3ebed72d,385,0,0.1111,0,1.407850042,0,3,0,3/12/2016,10/14/2016,216
30,,,0x8153510d6b4205ae9fa956b1a3012922ded49350,5,2,0.1002884621,0.07924861739,0.5094653874,0.4025829763,2,1,2/22/2016,2/22/2016,0
31,,,0xd2dc2625079d2eb5d31a03ce2372304a23fb7b42,552,0,0.1,0,1.07025,0,1,0,3/27/2016,10/14/2016,201
32,,,0x3f1aed30edc98c78cbbb699c662d79450a20acfb,340,3,0.1,0.01,1.090416667,0.1090416667,2,1,3/26/2016,10/14/2016,202
33,,,0x787e3cef5edd94089ab3988775fcb24a1582b38f,215,0,0.1,0,1.07025,0,1,0,3/27/2016,10/14/2016,201
34,,,0x14d7a3f1767b94b366ba29b4f774588459359f27,4,0,0.1,0,0.618875,0,1,0,2/25/2016,4/12/2016,47
35,,,0xed41e841ed150f8fb1febc8c443a113c1cd95a1d,2,0,0.1,0,1.063166667,0,1,0,4/6/2016,4/6/2016,0
36,,,0xc11705a782e1a4c4db0a5b9ee22ce7554dd5e8e1,5,0,0.1,0,0.618875,0,1,0,2/25/2016,6/23/2016,119
37,,,0x303e50180fe5794ba066e227f376b22341aad497,4,1,0.045,0.0196,0.52348125,0.2280051667,1,1,3/10/2016,3/10/2016,0
38,,,0x0b230b071008bbb145b5bff27db01c9248f486b9,340,1,0.04,0.0095,0.2560166667,0.06080395833,1,1,2/29/2016,10/14/2016,228
39,,,0x0ec3cd77dbc5b512b5f9e45578813e1dbbcda719,4,2,0.04,0.0202,0.2560166667,0.13271575,1,2,2/29/2016,3/1/2016,1
40,,,0xd0e614953de3dd3d4816b195d261769efd880a50,3,1,0.04,0.019,0.2560166667,0.1216079167,1,1,2/29/2016,2/29/2016,0
41,,,0x26bad8baf94001cd778731f8fd84b6cb01859748,223,0,0.03717472119,0,0.1888475836,0,1,0,2/22/2016,10/14/2016,235
42,,,0xb56e95aea830b0242be6a5d0239ed7f71408563b,1,0,0,0,0,0,0,0,11/25/2016,11/25/2016,0
43,,,0x0abce3be0075d067e12da8d266de752e20ff9842,1,0,0,0,0,0,0,0,11/25/2016,11/25/2016,0
